Marque,Nom,Calories,Proteines,Glucides,Lipides,PoidsUnitaire,Utilisations
nichie,Soy Protein Puff,390,79.9,9.4,3.9,,74
Goodday Factory,Protein Coffee,369,81.3,10.7,0,7.5,64
Moulamein,Flocons d'Avoine,414,12.8,65.6,10.8,,47
Meito,Cottage Cheese,114,17.6,2.8,5.9,,45
Savas,Milk Protein Yogurt,68,12,5.1,0,125,40
KoRo,Soja Crispies Cacao (77%),381,77,12,3,,38
,Oeuf entier (M 53-63g),143,12.6,0.7,9.5,55,37
,Tomate,18,0.9,3.5,0.2,,35
Glico,Protein Almond Milk,38,4,2.3,1.9,250,35
,Huile d'Olive,900,0,0,100,,32
,Riz Rond (sec),350,7,78,0.5,,32
Mestemacher,Protein Brot,257,20.6,15.5,10.3,50,31
Odakyu,Bœuf Haché Maigre,190,21,0,12,,31
Savas,Milk Protein Shaker (Chocolat),54,10,3.5,0,200,31
,Salade,15,1.3,2.8,0.2,,27
,Sauce Soja,53,6,7.5,0.04,,24
OK Store,Natural Cheese,303,24.8,1,22.3,,24
Amazon,Protein Gyoza,159,18.4,4.2,11.7,24,21
Garofalo,Pâtes Complètes,350,13,74,2,,19
,Carottes Crues,40,0.9,7,0.3,,19
Savas,Milk Protein Peach,72,12,6.2,0,125,18
Morinaga,Lait Low Fat,43,2.5,5.2,1.3,,17
Oikos,Yaourt 18g,59,10.6,3.6,0,170,16
Heinz,Tomato Ketchup,102,1.2,23.2,0.1,,16
CoCo x Gold's Gym,Protein Curry,113,15.6,6.8,3.2,200,14
Savas,Milk Protein Mangue,72,12,6.2,0,125,14
,Miel,329,0,82,0,,13
Lyft,WPC Whey Chocolat,397,72,12,7.3,30,13
,Clémentine,47,0.8,12,0.1,75,13
,Myrtilles,57,0.7,14,0.3,,12
Vitto,Tomato & Basil,75,1.3,9,4.4,,12
,Flocons d'avoine,355,13,60,7,,11
,Pomme de terre (crue),77,2,17,0.1,,11
Yummy,Yogurt Skim Plain,56,5,8.8,0,,11
Oikos,Yaourt Myrtilles,77,8.9,10,0,113,11
Del Sole,Naples Style Crust,249,7.2,49,2.7,108,11
Barilla,Sauce Basilico,64,1.5,8.5,2.7,,11
,Fraises,32,0.7,7.7,0.3,15,10
Kraft,Fromage de Burger,325,17.5,2.5,26.9,16,10
Topvalu,Mixed Melting Cheese,331,25.1,1.5,24.9,,10
,Beurre,717,0.7,0.6,81,,9
KoRo,Sirop d'Érable,367,0,90,0,,9
Oikos,Fraises,77,9,9.7,0,113,9
Daizu Labo,PST Soy Meet,116,14.5,9.2,3.4,100,9
7-Eleven,Salad Chicken,120,26.8,1.5,0,80,9
Bütz,Delicatessen Jambon,140,20,0.8,6.3,75,8
Danone,YoPRO Plain 40G,56,10,4,0,,8
Prozis,Flocons d'avoine,365,12,68,7,,7
,Tofu Ferme,120,12,2,7,250,7
Barilla,Sauce Bolognese,84,4.5,7.7,3.6,,7
KoRo,Tartinade de Fraise,166,0.6,39,0,,7
Amazon,Lait Low Fat,48,3.6,5,1.4,,7
Amazon,Protein Shumaï,159,17.6,6.7,7,28,7
Heinz,Ketchup Less Sugar & Salt,50,1,12,0,,7
Denmark,Goat Protein Zinc Plus Cheese (산양 프로틴 아연플러스 치즈),375,20,2.5,32,20,7
Prozis,Clear Whey Isolate,364,81,10,0,,6
Seijo Ishii,Jambon Pyrénées,253,25.7,0,18.4,,6
Youki,Tteokbokki,224,3.6,48.3,1.8,150,6
Bütz,Unsmoked Jambon,125,19.2,0.7,5,75,6
,Saumon (Pavé),200,20,0,13,125,5
,Oeuf entier (L 63-73g),143,12.6,0.7,9.5,65,5
7-Eleven,Wet-Cured Ham,153,24.7,3.9,4.5,98,5
Savas,Milk Protein Shaker (Caramel),54,10,3.4,0,200,5
Odakyu,Saumon cru,183,18.4,0.3,12,,5
Welna,Sauce Bolognaise (Pro Taste),70,2.5,10.5,2,130,5
Kikkoman,Sauce Soja,100,10,13.3,0,,5
Denmark,InPocket Cheese Light (인포켓치즈 라이트),200,15,5,15,20,5
Lotte Wellfood,Burger Buns 4 oz,305,11,49,6.9,52,5
Mae Hong L&F ((주)매홍엘앤에프),Flocons d'avoine,385,14,67,7,,5
Boccone,Mozzarella Bocconcini,160,15,2,10,100,5
,Steak haché 10%,150,20,0,8,125,4
Milkup,Cottage Cheese Original,99,9.5,2.4,5,,4
Odakyu,Nouilles Udon,154,4.5,30.8,0.7,200,4
,Mozzarella,300,17,2,22,,4
Amazon,Hamburger Bun,250,9.1,48.9,3,60,4
,Alcool,100,0,0,0,,4
INABA,Thon en boîte,69,16.6,0.1,0.3,70,4
MyProtein,Popped Protein Crisps BBQ,399,45,17,13,25,4
,Cerise,63,1.1,16,0.2,6,4
,Pêche Japonaise,38,0.6,8.9,0.1,,4
Take Fit (테이크핏),테이크핏 MAX 고소한맛,42,9.6,0.4,0.2,250,4
Harim (하림),Chicken Breast Black Pepper (닭가슴살 블랙페퍼),109,22,1,1.9,100,4
De Cecco,Pâtes Fusilli,347,15,61,2.8,,4
Good Today (오늘좋은),Mozzarella Pizza Cheese Multipack (모짜렐라 피자치즈 멀티팩),308,24.5,3.3,21.7,60,4
Take Fit (테이크핏),몬스터 - Shaker chocolat banane,56,12.9,0.4,0.3,350,4
,Steak haché 15%,175,19,0,11,,3
,Banane,89,1.1,23,0.3,120,3
,Huile de Sésame,884,0,0,100,,3
Delverde,Pâtes (sec),352,14,69,1.8,,3
,Pain Multigraines Sourdough,270,11,50,6,,3
Gioia Cheese,Mozzart,260,19,10,20,,3
Emborg,Cream Cheese,268,5.4,3,26,,3
Seijo Ishii,Shumaï Porc,181.3,12.5,16.17,6.73,25,3
Oikos,Shaker Vanille 25g,58,10.4,4,0,240,3
Kinokuniya,Pita Bread Plain,240,7.9,47.4,0.7,92,3
Butter Baby,Sourdough Sesame Bun,269,9.2,50,6.9,130,3
Amazon,Protein Fried Chicken,133,17.6,8.4,3.9,,3
Fiamma,Lentilles,54,4,6.89,0.3,,3
Kibon,Surimi,103,9.7,11.2,2.1,10,3
7-Eleven,Cajun Salad Chicken,109,23.3,1.4,1.2,100,3
Callbeepotato,Frites Surgelées,130,1.9,20.5,4.5,,3
,Prune Sumomo,45,0.6,9.4,1,,3
,Pastèque,30,0.6,7.6,0.15,,3
Harim (하림),Chicken Breast,105,20,2,2,100,3
Shoestring,Frites Surgelées,139,1.6,18.8,6.4,,3
Prozis,Peanut Butter Smooth,629,26,13,51,,2
,Pâte de Miso,200,12,25,6,,2
Prozis,Instant Oats,391,12,68,6.9,,2
Prozis,Protein Vegetable Bonbon,386.5,70,4.8,8.5,,2
,Blanc de poulet cuit,165,31,0,3.6,,2
Prozis,100% Whey Prime,386,76,9.6,4.8,,2
,Saumon Fumé,200,23,1,12,,2
Prozis,100% Real Whey Isolate,364,86,3.2,0.8,,2
Odakyu,Rolls Saumon Œuf Concombre,156,6,20,5.2,50,2
Prosain,Sauce Bolognaise,84,4.6,7.2,4.6,,2
Prosain,Compote Pommes & Poires,55,0.5,14.2,0.5,,2
I'm Donut,Chocolat,280,4,34,16,100,2
Bülz,Saumon Fumé,187,19.9,1.1,10.5,110,2
Odakyu,Échine de Porc Fine,250,19,0,20,,2
Lawson,Brioche Chocolat,310,6.2,45.6,11.9,100,2
La Pizza,Crust,209,6.8,41.7,1.7,160,2
,Vermicelles de riz,354,0.2,88.2,0,,2
World Trading,Flour Tortilla,338,7.6,10.7,53.4,29,2
Seijo Ishi,Jambon en morceaux,114,18.8,3,3,100,2
7-Eleven,Salade Chicken Oeufs Salted Sauce,199,21.8,4.4,10.9,100,2
Topvalu,Sauce Carbo,121,4.5,5.7,8.7,110,2
MyProtein,Protein Pancake Mix,370,63,15,6.2,50,2
Moriniga,Yaourt,99,10.2,4.9,4.3,100,2
Flymeal (플라이밀),Protein Bar Crunchy Dark Chocolate (단백질바 크런치 다크초코맛),354,34,35.5,18.5,40,2
Ottogi (오뚜기),Cockcockcock Spaghetti (콕콕콕 스파게티),404,7.5,63.3,13.3,120,2
Good Today (오늘좋은),Whole Wheat Tortilla (통밀 또띠아),282,9.8,45.6,6.7,45,2
테이크핏,몬스터 - Shaker chocolat banane,56,12.9,0.4,0.3,350,2
Maeil (매일),Shaker chocolat 45G,60,12.9,1.1,0.4,350,2
,Blanc de poulet,110,23,0,1.5,,1
,Blanc d'œuf,52,11,0.7,0.2,35,1
,Concombre,12,0.7,1.8,0.1,,1
,Huile de coco,892,0,0,99,,1
Prozis,100% Real Whey Unflavored,494,76,3.4,8.5,,1
,Beurre de Cacahuète (Pur),595,25,12,50,15,1
,Thon au naturel (boite),110,25,0,1,140,1
Biotech USA,Iso Whey Zero Clear,349,85,0.9,0.5,,1
,Maizena,355,0.5,86,0.5,,1
Barilla,Pâtes (sec),359,12.5,71.2,2,,1
Van Houten,Poudre de Cacao,379,20,11,21,,1
Prozis,Whey Hot Cocoa,369,65,6.2,6.9,,1
Prozis,Sauce Curry Zero,20,0,4.9,0,,1
OC,Sorghum Sweetsauce,58,0,0,14,15,1
Prozis,100% Whey Hydro Isolate,373,80,6.3,3.1,,1
Via Emilia,Jambon Prosciutto Cotto,145,19,2,7,100,1
,Quinoa Tricolore (sec),381,14,64,6.1,,1
Pocari,Ion Water,14,0,0,0,250,1
Prozis,Protein Supreme 100% Vegan,381,78,5.5,4.7,,1
,Oat Sourdough,250,10,50,5,50,1
,Nouilles aux œufs,257,7.1,54.3,0,70,1
HiLo Donut,Choco Pop,185,14,18,5.3,100,1
Nosh,Wild Berry,271,47,7.6,1.3,40,1
Norven,Saumon Fumé,183,22,0,10.5,,1
Topvalu,Yakiniku Sauce (Mild),144,1.7,0.6,0,,1
Goshiso-sho,Salmon Musubi,139,6.4,23.9,1.9,132,1
Goshiso-sho,Yakimusubi Bœuf,167,5.7,26.9,3.4,132,1
,Crevettes crues,82,19.5,0.7,0.6,,1
Blue Bottle,Hot Chocolate,83,3,10.5,3.5,250,1
Family Mart,Sushis Hosomaki,277,7.1,54,4.1,100,1
Family Mart,Onigiri Riz,186,2.6,41.7,1.1,100,1
Odakyu,Rolls Crâbe Œuf,144,4.8,21.7,3.8,44,1
Seijo Ishii,Nouilles Udon,145,4.4,30.1,0.8,180,1
Lyft,Whey Soy Brown Sugar Kinako,377,72.7,15.7,2.7,30,1
Coca-cola,Normal,45,0,11.3,0,,1
Lyft,Matcha Latte,115,12,12,2,100,1
7-Eleven,Saumon cuit,232,20.7,6.2,13.8,60,1
Tully's,Short Chocolat,265,5,33,13,100,1
Odakyu,Épaule Agneau,225,18,0,15,,1
AEON,Épaule de bœuf,180,19,0,11,,1
Youku,Rice Paper,336,0.1,83.7,0.1,10,1
Bio C'Bon,Crevettes Épluchées Surgelées,29,6.9,0.1,0.2,13,1
Sagamiya,Tofu Noodle,54,6.3,4,1.9,150,1
,Abricot,49,1.4,11.1,0.3,35,1
,Chocolat Noir,600,8,46,43,,1
Wendy's,Burger USA Double,914,60,31,70,100,1
Wendy's,Frites Salées (S),231,2.8,26.6,13.1,100,1
The Little Tokyo Bakery,Sandwich,370,17,36,15,100,1
Lawson,Spring Rolls,123,5.4,21,2.2,100,1
Moriniga,In Protein Peach 15g,39,6.4,3.3,0,240,1
Aquarius,Sparkling,19,0,4.7,0,,1
Moriniga,Yaourt Miel,129,10.3,12.8,4.4,80,1
MyProtein,PopRoll,353,29,37,7.8,27,1
MyProtein,Popped Protein Crisps Oignons,364,40,18,10.4,25,1
MyProtein,Doublé Dough Brownie,410,24,40,16,60,1
MyProtein,Popped Protein Crisps THAI SWEET CHILLI,398,45,17,13,25,1
,Edamame,120,11,9,5,,1
Family Mart,Onigiri Saumon,168,4.3,34.6,1.5,100,1
,Parmesan,430,35,0.5,30,,1
7-Eleven,Onigiri Salmon,182,4.5,35.9,2.7,100,1
Lawson,Onigiri Salmon,283,7.7,58.6,2.5,100,1
Akikawa Farm,Fukkura Nama Hamburg,137,13.2,6.3,6.6,100,1
Meiji,Mozzarella,263,17,1.5,21,100,1
Lawson,Fried Chicken,100,6.4,3.6,6.9,45,1
MyProtein,Crispy Wafer Cookies & Cream,479,37,30.9,23.1,41.1,1
Samyang,Carbo Buldak Bokkeummyeon (큰컵 까르보불닭볶음면),448,6.7,60,20,105,1
Special Choice Deuktem (득템),Original Chicken Breast (닭가슴살 오리지널),114,23,1,2,100,1
Jet (제트),Haru Protein Bar Cinnamon Churros (하루 단백바 시나몬츄러스맛),335,35,40,12.5,40,1
YoPRO,Myrtilles,70,9,8,0,150,1
Take Fit (테이크핏),Take Fit Max Chocolate Flavor (테이크핏 MAX 초코맛),42,9.6,0.4,0.3,250,1
Take Fit (테이크핏),Shaker fraise 47g,58,13.4,0.4,0.3,350,1
,Nectarine,44,1.1,10.6,0.3,,1
Samyang (삼양),Buldak 4 fromage,405,9.1,60.9,13.6,110,1
,Chips,600,7,60,40,,1
Take Fit (테이크핏),몬스터 - Shaker Grains 45G,56,12.9,0.4,0.3,350,1
REAL price,Black Pepper Chicken Breast,120,24,0.5,2.3,100,1
Seoul Milk (서울우유),Yaourt Cookie Rings,107,3.8,16,3.1,131,1
Dr. You,Shaker Matcha 62G,73,14.4,2.7,0.8,450,1
,Patate douce cuite,86,1.6,20,0.1,,0
,Pomme de terre cuite,77,2,17,0.1,,0
,Pain complet,247,9,43,3.5,,0
,Filet de saumon,208,20,0,14,,0
,Crevettes cuites,99,21,0.9,1.1,,0
,Steak haché 5%,121,21,0,3.8,,0
,Lait demi-écrémé,46,3.2,4.8,1.6,,0
,Lait entier,61,3.2,4.8,3.3,,0
,Emmental râpé,382,29,1.3,30,,0
,Tempeh,195,19,9,11,,0
,Avocat,160,2,1.8,15,,0
,Pomme,52,0.3,14,0.2,180,0
,Orange,47,0.9,12,0.1,200,0
,Noix,654,15,14,65,,0
,Cacahuètes,567,26,16,49,,0
,Sauce tomate,50,2,9,0.5,,0
,Lait de coco,230,2.3,3.3,23,,0
,Amande,595,21,10,52,1.2,0
,Bifteck de boeuf,115,23,0,2.5,,0
